"","l.wt","l.wt.1","l.wt.2","l.wt.3","l.LCAD","l.LCAD.1","l.LCAD.2","l.LCAD.3"
"Akap3",4.97681617136553,4.88458492983879,4.89607524520114,4.76093290845898,4.74570610495507,4.61207006620886,5.21319911595537,4.78838539627003
"Rxfp2",5.05988935320212,4.58771422009296,5.16920708206221,4.59188169837172,4.75050306868232,4.82025719777359,4.73939519167052,4.75545976455026
"Slc7a1",4.70324037638409,4.97339251293894,4.75265312207803,4.59842773822339,4.80905053460082,4.57829376274346,4.81719591092743,4.79672098417766
"Pde4a",6.19617946745974,6.57844732837617,6.42329316686416,6.35680347399313,6.3124895631008,6.26358799018799,6.38412477247767,6.47510911145926
"Gabrq",4.09425490584658,4.56590176680667,4.37004944637449,4.42627522259093,4.52066902570818,4.15420623612325,4.65163468056046,4.40206997930731
"Hoxd3",4.90014221204451,4.65580603429442,4.61669445122509,4.72755957234642,4.6362953875205,4.78306957880166,4.63268897897122,4.72743698906384
"Kcnd1",4.98551181516401,4.89091391206934,4.94631001271015,4.91821242311574,4.65266132863758,5.14837790100483,4.64339549255245,4.78630732348666
"Tcam1",5.09570420236999,5.17782780028965,5.35416932061932,5.12548835952368,5.39497523404807,4.92619986331028,4.99949789984734,5.09446723729206
"Mef2b",6.00292538739859,6.23557466521138,6.10443584168946,6.16688211641918,6.08148522764691,6.19478698821556,6.05102356784853,6.1809753748415
"Fbxo4",6.61796997562019,6.43294454610481,6.52283781586666,6.55183685855171,6.68187170198965,6.75170766013327,7.05575717218571,4.16573767978531
"Dnah11",5.91781519778704,5.78084560280507,5.96802852583733,6.25371030309819,5.9490127836972,6.10949943092479,5.98068332262326,5.86399418533367
"Racgap1",4.31549511540922,4.36760040028326,4.41742959983199,4.26264595298651,4.41627710948107,4.3749156323718,4.56939429738755,3.78626826827945
"Cd180",4.54208380131123,4.37762353763573,4.57172012657292,4.34742159628113,4.3137646352384,4.41206745166666,4.29216479159114,4.39053727588062
"Pcdhb2",4.58905412735508,4.59543085555729,4.7528452851229,4.70017573628688,4.76626015470056,4.43561939384181,4.67533591251636,4.8470254153409
"Pcdhb15",4.4782127348461,4.12455130531019,4.14731687576924,4.37275120674459,4.11649185199408,4.11857402102282,4.19355106513075,4.0806336182275
"Trim34a",5.9551567789605,5.99516767911157,5.9739994469278,6.19849670742706,5.37389998244985,5.5969333539212,5.31510064115546,5.88643503927411
"Ifi202b",4.19042301483903,4.20014280261758,4.14997094338891,5.06880944201097,5.69814295149555,5.06134794732718,5.26874644967684,5.99982258268557
"Cdx4",3.71968243683396,3.67316844967313,3.90536168316616,3.65654728157376,3.53191252408298,3.84999725850071,3.80794929301086,3.79357454287268
"Epm2a",5.5830307016368,5.34503366885777,5.77593804227333,5.43151665898924,5.38213911310299,5.44216821209913,5.42766757986987,5.59503558590831
"Lmx1a",4.99641224880698,4.99641224880698,5.09666919832004,4.85143523673245,5.33426523927058,5.01233245084114,5.22856244510135,4.90810872570471
"Serpina3a",4.97819659086775,4.94587851079836,4.9448604599583,4.5451564394384,5.06702039713889,4.79827115452308,4.84481902917762,4.77565668327466
"T2",6.84526396919058,7.01270341707262,7.01451586867569,6.76136107669583,6.83982092795974,6.73706915791921,6.89792300256046,6.83329586059007
"Abo",4.36769109316386,4.32634074741223,4.22276206458216,4.46522047567281,4.42564580643039,4.20838740516531,4.40618037414101,4.29289156652776
"Snai3",5.32370667064453,5.19236565270164,5.18677135448503,4.96719641880899,5.33023838309819,5.23617649194397,5.22014999376479,5.03173452320128
"Bhlhe23",4.63724952737333,4.40735295510257,4.63483242004716,4.70971775581633,5.12992755153223,4.67753265342798,4.70666603021515,4.6379789870033
"Cd209c",5.39423321710788,4.90421297100109,4.94631001271015,4.68317081338638,4.96441942682489,4.76548621370981,5.05082794297396,4.82926942299651
"Serpina3c",4.43139503868011,4.17159555637165,4.32550435562749,4.7166886098993,4.12543587147573,4.44512220984633,4.08433627562628,4.22946456550294
"Robo3",4.56642051990446,4.62973592614499,4.55433939734861,4.47368334810478,4.68159200972251,4.58987521962874,4.66810607318548,4.39250372450882
"Pet2",3.8157095481828,3.89353705170112,3.78972841684477,3.62713741898905,3.67872457696277,3.67702929400825,3.55406140419141,3.75510047097816
"Npas3",4.21125050671056,4.08882550189601,4.29708684306928,4.31958289235358,4.24355362418902,4.27630306501143,4.26622059346637,4.4782127348461
"Kcna6",4.81526989969012,5.09834055504505,4.72883603034138,4.82806207793711,5.01243069913632,4.96078015171126,4.83616733173229,4.38166476400993
"Grid1",5.49895002216777,5.79007006477159,5.77710299801353,5.38905279451122,5.50217103963099,5.65796034625306,5.57200671745256,5.31933793691472
"Il9r",4.38514184794695,4.25680974364697,4.3345418183872,4.3345418183872,4.39310313408386,4.22565553086054,4.40738626859495,4.29827977838298
"Ly6c1",6.57991702956907,6.83883670466168,6.79329012512204,6.36764102147506,6.13416815225939,6.54261063106836,6.3022876081902,6.75493672661282
"4930533N22Rik",4.12123294960336,4.11796759985607,4.24858849598849,4.19142723377229,4.01630732373783,3.97465366156372,4.056282473088,4.23894884802897
"2310057N15Rik",4.02947718081426,3.85454987083562,3.83371540454019,3.9746331974704,3.95777152892288,4.19560091396088,4.10934350775141,4.03408996715042
"4930524B15Rik",4.28875107836948,4.26239211330572,4.17319380872115,4.24644328006287,4.28169973358911,4.27542064524193,4.28939672227252,4.21482188769952
"Evx2",6.09922691880391,5.94090750401633,5.89627124324351,5.8696045766669,6.04529093456658,5.92278054238993,6.08345562704832,5.86851644259064
"Ccl4",6.60431526206407,6.60798078555884,6.89244372946653,6.59317065841016,6.46420771373073,6.6323080054108,6.54105044836954,6.49885798032423
"Hoxa9",5.9504883607176,5.92486426158831,5.97861815798701,5.74951544278959,5.71017674412492,5.63481332944661,5.77211289597009,6.44098607306798
"Cntnap1",4.95673373285561,4.80400609839494,4.88867847835051,4.77784822567256,4.73303458009522,4.7461891322684,5.05123417765912,4.78695866284519
"Opn4",6.46899801593272,6.43540473895014,6.64122577998298,6.58112765429588,6.08093688137443,6.67558336534023,6.47407629812184,6.41630116357692
