"","h.wt","h.wt.1","h.wt.2","h.LCAD","h.LCAD.1","h.LCAD.2","h.LCAD.3"
"Steap1",5.17226299702675,5.0949067291223,4.89578847953577,4.98315115628612,4.98579551960671,4.91214286873037,5.07508343042428
"BC022687",4.87922860322491,5.00533979933408,4.98680204828498,5.29540051236226,4.88683434195943,5.41436142699619,5.92452911384469
"Scgn",6.34942773593478,6.49452785653784,6.2930954644845,6.22063061401173,6.18471101504668,6.34279436882776,6.33726116083675
"Il31ra",5.69400595556849,5.95168970859348,5.65544414096682,5.62971972549694,5.6020784414201,5.67500404569919,5.64909312040727
"Chil1",4.82026194691137,4.97726531327616,5.03352828139515,4.85056492112715,4.81199216649447,5.00394667947477,5.34713648841494
"Sox9",4.8458150347134,4.98868932156454,4.78479385384795,4.78632023709099,4.88331533530101,5.04566311087062,5.1289800191705
"Mpi",10.1824646241022,10.1706466693713,10.2913379869805,9.95377923561377,9.8108825357583,9.89395425199185,9.87357714808823
"Bcs1l",9.16232586466947,9.08605393464685,8.97043515572994,9.11288264714449,9.13997744726024,9.02012434343295,9.22390661724618
"Tapbpl",5.8303618691043,5.46607740789364,5.59139753075321,5.65814831703762,5.33020496098971,5.55855894514918,5.63189894302529
"Tdrd3",7.42666244755079,7.11353538230233,7.46678493676579,7.85469674531239,7.41245603558777,7.58942748804248,7.50858552758005
"Tmem40",4.53893891521608,4.62168894700684,4.33836500847056,4.60115124347446,4.57324969108109,4.41141292378641,4.56253352918231
"Iyd",4.44437022909749,4.28411727830586,4.42801760398723,4.21506396147136,4.14192720202638,4.2989487313398,4.31551261369739
"Cngb1",5.29770280020616,5.15091803130638,5.18282031513236,5.02427955944473,5.11860940156575,5.34692285980705,5.19452285296024
"Ephb3",7.24834146956025,7.09515477738712,7.07793853844754,6.7468828918746,6.71117447713331,6.3435835290109,6.93700691554055
"Krt84",6.09362883606322,6.0080484848807,5.95500615630936,5.94060663491208,5.82963471214956,5.87440349019337,5.89636418221084
"Lipt1",7.01561397725749,7.2922028989464,7.39628555494019,7.18277074589831,7.20089625161726,7.19282195221908,7.45809503129022
"Art5",6.50188278528446,6.21338213348041,6.35876502976568,6.58609524778106,6.25348909440542,6.42789772425641,6.17562582371339
"Aph1a",8.09754338624235,7.96161572761145,8.09264260171228,8.10825688887671,8.09234329760688,8.1272539173269,8.26901463561627
"Tat",5.88603452826446,5.9716687123751,5.13622765011755,5.29189296674642,5.64346978430077,5.44674686130311,5.5738301444598
"Prr12",5.85302717753428,5.82240572174452,5.75724411560073,5.91861408259693,5.91867891822853,6.03055281951431,5.71966429976216
"Ggact",7.28287547611835,7.18331569544742,7.01173926537789,7.08499000184775,7.12375878269103,7.27954056860159,7.07624909445477
"Emr4",4.62481232588271,4.35723257065002,4.64301704746646,5.03506387702617,5.22951290218607,4.87557848444093,4.71645867216868
"Parp14",7.87646918335982,7.5721936881469,7.79230545429555,7.38712210609666,7.30980864702333,6.90524727195796,7.17904042563227
"Zfp810",6.89722251280705,6.61237004573404,7.4567679626371,6.90748113812245,6.85084679390139,7.3421540696151,7.27487756428067
"Dennd6a",6.33553631410259,6.54592822506319,6.38703700500421,6.55092307579307,6.52269356085463,6.40496530740372,6.44751580451134
"Fam92a",9.31912428953373,9.35953522623442,9.45188139709425,9.22789290464958,9.46203145389763,9.56620888166661,9.60797309463319
"9130019O22Rik",6.92297648895577,7.27880188810351,7.0494680633214,6.92786357327251,7.0623826283504,6.90122085863856,7.04325809633656
"Mff",9.24254974713853,9.24276152323685,9.2257746227757,9.35906261247695,9.32287034036914,9.39813920433349,9.42079037315579
"Stx4a",8.74435326267061,8.71192548273027,8.8132963642278,8.93045039600957,8.84804148915034,8.90932273158205,8.96324059193512
"Bcl9",6.14243876242286,5.87587121139143,6.13429837162775,5.95643470610092,6.1488176026046,5.87535144133811,5.81828408557189
"Nudt3",10.1661853067589,10.1709738300918,10.3503828744925,10.5250301702107,10.5620851695248,10.6938084788792,10.5780715716532
"Prkdc",6.91593123129091,6.74251175292865,6.94003680809076,7.07275473861873,6.71648792054837,6.80688571225258,6.74251175292865
"Ccdc65",4.72113857169303,4.82926942299651,4.94125273330545,4.77439406601683,4.78190893477949,4.78632546523801,5.10599798954517
"BC024139",5.08373162398968,4.87074899249615,4.89315986976054,4.84209872048596,5.00971657816252,5.06844570516523,4.8986315680569
"Tulp1",5.29460273806404,5.00440251255086,4.99050142903749,5.1513820463875,5.11771207900254,5.0097022031982,5.10497818094417
"Mmgt2",5.08388846815242,4.76596547504018,5.07216746965786,5.24086763798084,5.07078837538894,4.91507769871831,4.69900518825439
"Havcr2",4.26950411548988,4.21023221068179,4.03933144237055,4.0953212305189,4.13051323480835,4.23241187042866,4.15885887553715
"Spsb2",6.54975975212949,6.46702904971698,6.57996883092032,6.44948362545141,6.52924954801147,6.51236462191173,6.67754834006027
"Tmbim6",9.88078785638382,9.77636334711078,10.2187338309977,9.94273573093947,9.62924287585045,9.68267055519811,9.85558129728106
"Tiprl",9.04119039123169,8.93729137601792,8.933669914218,9.02570932814102,9.04638947797395,9.02878847909473,9.11942232325692
"Eci3",4.58035656566334,4.71634674911238,4.49889948761564,4.9326353374118,4.50370599331242,4.52860732328906,4.48954775232461
"Cplx4",4.31657595179959,4.56684875563067,4.32354214450101,4.40762046112903,4.59101721203542,4.53623440721954,4.53623440721954
"Efnb1",7.53590478864294,7.4433605178784,7.53009837321722,7.48792051145722,7.43950972280888,7.48306980217565,7.4137276449977
"Mypop",6.26626688954062,6.01060956026094,5.97316069585875,6.26111413739406,6.10017158155939,6.20683151840274,5.82135679308718
"Serpinb6c",3.7514756114603,3.90418955573361,3.81883451041489,3.84516594760027,3.85302045090373,3.90190363044051,4.11789281794914
"Sphk1",5.45641421640208,5.37347122153555,5.26246409044944,5.23421772003472,5.41571811043219,5.21489002360978,5.52141617126402
"Tmprss11d",3.27301108191975,3.6066427464378,3.46288705992511,3.7384352761781,3.61093872008503,3.62601526086276,3.519310284873
