"","b.wt","b.wt.1","b.wt.2","b.wt.3","b.LCAD","b.LCAD.1","b.LCAD.2","b.LCAD.3"
"Rplp2",13.4580297406844,13.133165497028,13.1265258992461,13.0516528310839,13.489942515065,13.5108040911573,13.2880010339482,13.4535417569949
"Lamp1",12.0907965448971,11.9046077919569,11.9372377472542,12.0834893995685,12.1185026188253,11.888147329312,11.7969970847502,12.0209313391189
"Ghitm",11.4439723187512,11.41634435838,11.5376233613985,11.5667669302101,11.4228015144295,11.448585259978,11.596947624328,11.3681003599109
"Cela3b",5.75795338886372,5.93550855179719,6.04046391178425,5.86511133568553,5.97339153316246,5.91278418136023,6.04261579837723,5.81225726820958
"Chgb",4.52331642610459,5.07047936470979,5.01594548749431,5.05368847284025,4.77548934278705,5.01829233027657,4.85705468659077,4.85127635957839
"Sh2d3c",7.64433479659281,7.6620059187332,7.50828982765685,7.31743097522127,7.24751657157793,7.11080075914814,7.2172135550284,7.35587873997283
"Tfg",10.2338133012399,10.5612440239325,10.4426288047666,10.2509966175643,10.2509966175643,10.2503461516077,10.3685551325466,10.2419481243029
"Hsp90b1",9.67387720706886,9.38488787503537,9.45841776921475,9.32640363298652,9.50182594178679,9.61975399078807,9.18203562154715,9.42117652030053
"Papss1",8.51217464951316,8.77919384927985,8.55011840295304,8.75721164089491,8.7333279000019,8.76998802152331,8.79188340479444,9.09262079186862
"Suclg1",13.3987732134513,13.2930173582935,13.3892649729559,13.295001904283,12.985224729185,12.995845801048,12.9721918307244,13.1149664073202
"Sgpl1",8.24593631230845,8.14853098410211,8.65177852587166,8.22035631826519,8.73652200996445,8.5914271423867,8.12570448580374,8.10164424622662
"Mgst1",12.0717715176812,12.1637379883866,12.1338041676103,12.0549812282502,12.0174256579457,11.9905956709622,12.1024590959304,12.0817076941651
"Junb",6.4713845328584,6.37935202573214,6.30990511956862,6.42689604727511,6.59426592442351,7.30045744650857,7.67954540636866,6.38633916599149
"Plod3",8.83160208723523,8.74899198192816,8.94869232701615,8.78881554210553,8.97943497046832,8.91768266559541,8.78087521453083,8.89216136653032
"Slc38a1",5.60008904844506,5.72843646600619,5.99055148454785,5.66496423675438,5.74894661178537,5.70300723266831,5.73035144240053,5.76160428541566
"Lpl",13.8019342422204,13.6130094433696,13.7370500893823,13.814006795051,14.0749407961149,13.9217204595717,13.764347067458,13.8286991088631
"Reg1",4.3248023964493,4.42178828061491,4.10558178886569,4.38554858789025,4.40919736439632,4.32796294433695,4.44606542416225,4.5155009691698
"Tmsb4x",12.6049232833921,12.4094343224171,12.2188816473747,12.2944745767226,12.1234808121554,12.0984820980793,12.2074872074123,12.3213748618018
"Ccnd3",8.53480535479249,8.45377160056629,8.52088170044546,8.63456724133034,8.34751330079395,8.27844620576423,8.35364718183575,8.26508334293586
"Tspyl1",7.6693259136604,7.39569326655214,7.68791168198458,7.71620199631907,7.63658019355201,7.5472359987241,7.48260144802832,7.39692179677851
"Stip1",9.13657182396634,9.00250912058209,8.23670867161591,7.8635158478294,7.70192811656985,8.17072202053538,7.99988942671312,8.48771958988084
"Ciapin1",9.58295074640193,9.85818959561445,10.0103843746917,9.64127062058268,10.2118419596922,10.1804083688694,10.0330223846701,9.78483722577342
"Impact",8.14211267486522,7.73055117717687,7.32961607415224,7.301944252543,7.67862365862189,7.35598186777599,7.11381435107817,7.61458640007986
"Gm15483",10.9572820043667,10.7235803184543,10.6298828709718,10.6257877325857,11.0587044356274,11.2242650988067,10.8202609894252,11.0050020070642
"Ddx1",9.19805245220742,9.32420642937092,9.09178841331603,9.22767730778645,9.19706636972731,9.20477200721082,9.21074682458955,9.30870634723534
"Mthfd1",7.71353479265157,7.81555488657817,7.89456484518554,8.06360860215082,7.94726873564879,7.92276510036012,8.05431630747844,8.07190809557805
"Npdc1",7.05458738806904,7.42291541099061,7.39538949455314,7.16355850788982,7.22946775723521,7.23959251502401,7.13199716009516,7.31403257005965
"Cstf2t",8.49850279849393,8.16633232884676,8.62729073977621,8.48096464660406,8.65086463112813,8.9086332200246,8.57734400111629,9.03512094057947
"Marcksl1",5.59293835365724,5.17193625181253,5.61375812677046,5.39127177702837,5.446753995236,5.39230818263093,5.71974488137044,5.1833469096904
"Tnp1",3.85306817311104,3.79698028329749,4.03577661619683,3.92552120929145,3.84280831224876,3.8013255809487,3.93965833412488,3.81337030445947
"Actc1",5.97140123167511,6.24913877374548,6.16086623128089,6.28335517366973,6.73507410867246,6.0548773392882,6.13610215861568,6.48254241994615
"Map1lc3b",10.4805099982696,10.401400394148,10.6750613625179,10.719903756617,10.501546181875,10.3920105072163,10.7462184089879,10.6554557296858
